text,speaker
"And then they said they're getting rid of the guy, like at Fox, I heard they were getting rid of that pollster, and they kept him. And they have others they kept. And you wonder what kind of business that is. You wonder what kind. We have a case where, in Wisconsin I have -- We're one up. And I left there a couple of days ago.",Donald Trump
"We had a rally you wouldn't believe it. Packed, just packed. Just like last night, like here. But, like last night, this was the section, you know, I wanted to come. This is considered a small, beautiful, cute, little wonderful section, and they asked me and I said, ""I wanna be there."" No, and every vote counts.",Donald Trump
"It's very important. We had something last night in Miami you would not have believed it. I don't know who saw it on television. I don't know. But you, you s -- you look at some of these, uh, results, like Wisconsin, so, you know, whether I'm up one or down one, it's right in that thing. I think we're gonna win Wisconsin because we have a lot of people that say, uh, ""We don't wanna talk to you,"" and then they go vote for Trump, right?",Donald Trump
"You know? The hidden voter or whatever they call them. Somebody said they're the shy voters. My people are not shy. They're not shy. But in Wisconsin, so they said, ABC News, which is, in my opinion, corrupt, but they're all corrupt, ABC News/Washington Post, which is basically a, uh, a lobbyist, as far as I'm concerned, for Amazon.",Donald Trump
"It's just a lobbyist. So, they didn't say like, ""He's two down, three down, four down,"" a fake poll. They said, ""Trump is 17 points down in Wisconsin."" Now, the real number -- I mean, I could lose it, I could win it. I think it's -- You know, how I'm not. I did a lot of good things for Wisconsin. But, you know, let's say it's even, and I call up a great pollster, John.",Donald Trump
"I say, ""John, let me ask you a question. I think we're one up in Wisconsin, but ABC/Washington Post -- "" They did the same thing four years ago if you remember, th -- very close to the election. They said we're down 12, and then we won, right? But we were down 12. And it's disheartening. It's called suppression.",Donald Trump
"What it does is it suppresses people. They say, ""Well listen, we love the president, but if he can't win -- ""So ABC -- But they did it four years ago and we complained bitterly with a very good lawyer. I had very good lawyers in those days. We complained very bitterly, and they changed it right before the election.",Donald Trump
"I think it was one, right? We were down one. They took it from 12 to one and it like -- about 15 seconds. And I realized, I said, ""This is a phony business."" But now they come down and it says, 17 down in Wisconsin, 17. So I call John, John McLaughlin. He's, he's like the dean. He's a great guy and he's been very good with me.",Donald Trump
"I mean, he said we were gonna win four years ago. He said i -- He said we're gonna win easily this one. He's a -- He's probably the biggest and the best. I said, ""John, let me ask you a question. ABC/Washington Post came out with a poll. It said I was 17 down. I'm not 17 down. I might be one down or I might be two up, but I'm not 17 down.",Donald Trump
"What's going on? Why don't they make it at least -- ""Because they have to live after that, they have to do other events and other -- Why don't they make it three or four or two or five or something, right? He said, ""They can't do that 'cause they want you to lose, and if you're two or three or four, everyone's gonna go vote.",Donald Trump
"They wanna make sure that your people don't vote. And when you're 17 down, people say, 'I just can't waste my time. I'm not gonna stand in line.'"" And I said, ""Isn't that sick?"" And he said he knows some of the people and they're very smart, they're very brilliant, they're smart people. He said, ""But if they made it five down or four down or six down, even -- So they make it something that's so bad, 17 down."" I said, ""Isn't that a shame?",Donald Trump
"I wanna tell that story. Do you mind?"" He said, ""I don't care. That's the way it is."" So it's crooked stuff. The Fox polls are horrible. Every time I have a Fox poll it's horrible. I mean, I like some of the things on Fox, certainly Sean and Laura, and Tucker's been great lately. And Fox and Friends in the morning is great, right?",Donald Trump
"We go through 'em. We have, we have some -- I find Harris to be great, Harris Faulkner to be really good. She's been very good over a period of time. Uh, the great Lou Dobbs, he's been fantastic, right? Brian. Jeanine, how do you like Jeanine, right? And, you know, look we have some, uh, we have some great people that support us.",Donald Trump
"Jesse has been great. Pete Hegseth has been great. And I don't wanna mention -- You know, there are a lot of people. Look, we have a lot, but it's 90 percent negative everything. You know, everything. It's not -- But so think of that. So I said, 17, and he gave me an answer. I just thought it was so incredible.",Donald Trump
"I said, ""I gotta tell that answer."" So, I hope I haven't bored you, but I thought it was interesting. Well? You good? I thought it was interesting. To me, it was interesting. And, and you know, I have like, uh, five of these to do today, so let's get going. I appreciate you being here. We had some, we had some monsters last night.",Donald Trump
"We had some, a little rough weather. It wasn't like this. We had, uh, in Michigan, we had a (laughs) slightly cold day, with the wind blowing at 40 miles an hour, in my face. And, you're lucky you have a President that doesn't need a teleprompter. I was able to -- Good memory. I would've been in big trouble.",Donald Trump
"There was no way you could hold paper. There was no way you could do, you were just -- And my guys set it up where the wind was right smack in my face. And I was looking at that flag from the play, and I said, ""Oh, no. Here we go again."" But actually, the flag must be a very high quality silk, because it's not that windy.",Donald Trump
"But yesterday, it was not, that was not an easy day. We had some very cold stops. If Biden and Harris, Kamala, Kamala. You want her? You want her as your first woman President? I don't think so. And the radical left gained power. they will collapse our economy and send our nation into a depression. Biden will raise your taxes four trillion dollars, massively increase your regulations, close down your factories, send your jobs overseas.",Donald Trump
"That's what he's been doing all his life, him and his group. Destroy the suburbs, dissolve your borders, terminate religious liberty, outlaw private health insurance. 180 million people have great health insurance. Shred your Second Amendment, confiscate your guns and indoctrinate your children with anti-American lies.",Donald Trump
"Biden has vowed to abolish the American oil and natural gas industries and ban fracking. He said it for a year and a half, he said it. Then all of a sudden, he goes to Pennsylvania, ""No. I never said that."" And the fake news doesn't do anything about it. Biden's energy ban will send every state into crushing poverty, from North Carolina to Michigan to Pennsylvania.",Donald Trump
"As long as I'm President, we will remain the number one producer of oil and natural gas [Inaudible]. And we will remain energy independent. Sleepy Joe Biden is a globalist who spent 47 years outsourcing your jobs, opening your borders and sacrificing American blood and treasure in endless foreign wars in countries that most of you have never even heard of.",Donald Trump
"He was a cheerleader for NAFTA. And they're all coming home. Don't worry about it. I said it. He was a cheerleader for NAFTA and China's entry into the World Trade Organization. North Carolina lost 50 percent of all manufacturing jobs after those Biden betrayals. And now he says, ""Oh, I'm gonna -- "" He's trying to follow my policy.",Donald Trump
"He's trying to follow my policy. He's not gonna do my policy. He's been doing this for 47 years plus, and for eight years a Vice President, which was only three and a half years ago. Joe Biden is a corrupt politician who raked in millions from China, while giving them your jobs. [Audience chants ""Lock him up""] He's a corrupt, he's a corrupt politician.",Donald Trump
"You see it. Now they say the laptop Schiff. Watermelon head Schiff. ""That laptop was produced by Russia."" Here we go again. Russia. Russia, Russia. Here we go again. (laughs) Can you imagine what they must think of it? They're like, ""These people are crazy."" No. It was, it was produced by where's Hunter.",Donald Trump
"That's right. It was produced by them. These guys are really -- Think of it. No, Schiff knows. He's a, you know, psycho in many ways, but he knows. It's a total con game. I had to put up with it for three years. And it affects it. You know, when you see nothing but negative television every night, every night, every night, and then they find totally no collusion, after wasting 48 million dollars, 18 people.",Donald Trump
"Think of it. And then, it's no collusion, but then you have to run. But you've had three years of horrible publicity, and they did it, I mean, they did it. They were the criminals. Hilary was a criminal. She deleted her emails. People go to jail for that. [Audience chants ""Lock him up""] These are criminals.",Donald Trump
"These are criminals, and say it any way you want to [Inaudible]. But we took the brunt, then we caught them spying on my campaign and trying to overthrow a duly elected President of the United States. So I go -- And that was before I even knew. I mean, that was while I was, while I was running. I didn't even know.",Donald Trump
"I'd hear these things, sir, uh, this is before I got elected. Guys would come up to me every once in a while, ""Sir, do you have anything to do with Russia?"" I said, ""No, why do you ask?"" ""Oh, I was just curious."" Because it was like this thing floating around. And then they come up again, ""Sir, are you sure you don't have anything to do with Russia?"" I said, ""I have nothing to do with Russia.",Donald Trump
"What the hell are you talking about?"" And you know, you hear it four or five times, then you get into office and they come up with this scheme and this, this plot. It was a plot to overthrow the government of the United States. And then we have people that just don't act fast, I mean, it's just unbelievable.",Donald Trump
"We have so much -- We have so much information. We have so much -- We have the whole thing. And Obama was involved. And Biden was involved. [Audience chants ""Lock them up""] They were involved, but it's, let's see what happens. People should move more quickly. In 2016, North Caroline voted to fire this corrupt political establishment, and you elected an outsider as President, who is finally putting America first.",Donald Trump
"And if I don't sound like a typical Washington politician, it's because I'm not a politician. If I don't always play by the rules of the Washington establishment, it's because I was elected to fight for you and I fight harder than any President has ever fought for his people. Thank you. Thank you. Thank you, thank you.",Donald Trump
"Get out and vote, that's all I ask. Just take a little time and vote. Vote. We got to win this state. I think we win this state, we win Pennsylvania -- We're going to win Florida. We win Pennsylvania, and you -- We're going to win the whole thing. We're going to win the whole thing. And we'll send them a signal like they've never seen before.",Donald Trump
"This has not happened to them. ""Big tech is so powerful, you can't beat big tech,"" they're saying to us. And I see it on Twitter, trending, trending, trending, right? It's not trending. They put the most boring thing. Only it was, anything bad about me, number one in the world on trend, right? Boring stuff.",Donald Trump
"I mean like, stuff -- Uh. As opposed to affairs, scandals, they don't even put that stuff up. It's always drop two, three, four, five items. It's a fix. It's a fix. This is a smart guy. We have his name, everybody knows who he is. And I'm not talking about the primary, I'm talking about people that work.",Donald Trump
"They take stuff out of a hat, let's see, this is bad about Trump, let's make it worse. Okay, we'll make it worse. Okay. Number one trend in the whole world, no, that's not stuff that trends, but these are phony guys, they fix the elections, and you know what? They should be subject to campaign violations because it's -- They're a [Crosstalk] they're an arm of the democratic national committee, and they work together.",Donald Trump
"They work on messaging together. The democrats, the fake news media, they're the worst. The fake, the fake people. And if I've done one thing, it's to expose the dishonesty in the media. And not everybody, but a big vast majority, a vast majority. Not everybody. Look at us, we catch Hunter and Joe cheating.",Donald Trump
"We catch them stealing millions of dollars. They refuse to write a story. Could you imagine if I got three and a half million dollars from the mayor of Moscow's wife? Could you imagine, somebody gave me three and a half million bucks? Somebody gave me $20 -- They impeached me because I made a perfect phone call to the head of Ukraine.",Donald Trump
"I never met the gentleman. Congratulations on your win. If you see anything corrupt, please call the Attorney General of the United States. And we have a corruption agreement with them because it's been a very corrupt country. I actually have an obligation. Now of course, they impeached before they found out, before I decided to release the phone call.",Donald Trump
"Isn't it lucky that I had that call transcribed? Can you imagine? No. Can you imagine? Now, they couldn't do it. They didn't know what to do. Crazy Nancy said, ""This isn't impeachable."" She said, ""You're right."" They said, ""You're right, but let's go through with it anyway. Maybe we'll get lucky."" Can -- No.",Donald Trump
"This is -- Because, she didn't know about the call. When she read the call, she said, ""He didn't do anything wrong. How did you get me into this, you shifty Schiff? How did you do it?"" Jerry Nadler. I've been fighting this guys for 25 years on the East side of Manhattan, the West side of Manhattan. Jerry Nadler.",Donald Trump
"He's a beauty, isn't he? ""How did you get me into this? Well, let's just keep going forward."" It's a disgrace. And we won. I will say this for the Republicans. 197 or 6, 197 to nothing, we won. And in the Senate, 52 and a half to one half. We lost a half of one. I wonder who that could've been. But, Sleepy Joe Biden is bought and paid for by China.",Donald Trump
"He's got, hey, they gave the son a billion and a half dollars to manage. That means he's gonna make millions of dollars a year. He doesn't know anything about investment. Didn't know anything at all about energy. He got $183,000 a month on energy. Think of that. Think of that. $183,000. I called a friend of mine on Wall Street. ""Is this a normal thing?"" He said, ""No, maybe the most abnormal thing I've ever seen in my whole life.",Donald Trump
"I've been doing this for 25 years."" He's the biggest guy. But, they're bought and paid for. They got the money. And then, they were going for the big one in China. They wrote a letter to a very big, powerful man within the Communist party. And, whereas Hunter asked for ten million dollars a year, as he was gonna recommend.",Donald Trump
"He was going to talk. You're gonna see, here's a guy that didn't have a job, got thrown out of the Navy. He got thrown out of the Navy. He didn't have a job. Biden becomes Vice President, and this kid is like a vacuum cleaner, going all over the world, following his father, picking up the scraps. You know, he's following his dad, picking up scraps.",Donald Trump
"And then, you find the note where the big man gets ten percent. The big man's Joe Biden. Huh? The big man gets ten. Then in one case, they said 50 percent. Right? That's more likely, because he wouldn't do it for ten. He'd want, because these people are all hangers on, losers. But, uh, that's the story, and it's in a laptop.",Donald Trump
"And now they say, ""The laptop was made by Russia, therefore it has no credibility."" Can you -- No, no. Can you believe this though, right? And so, the news, there's not, outside of the New York Post, which really, I hold in high esteem, they have done, they're like a hero paper. And they endorsed me. I got a nice endorsement from -- Did you see it from Pennsylvania yesterday?",Donald Trump
"Right? Pittsburgh. Pittsburgh Gazette. That was nice. Once I got through that first paragraph, it was phenomenal, actually. They said, ""We don't love his personality. We don't love his tough demeanor."" But, I have to be tough. Look, I've been under investigation from before I ever became President. I have to be tough.",Donald Trump
"If I was soft, I wouldn't be here right now. And, they don't wanna say that. I was under a fake investigation by a lotta fake people, Bob Mueller and his crew. The whole thing was a fake scam that should've never been started, and they knew the answer on the first day, but it took them two and a half years to put it down.",Donald Trump
"No collusion. But, they knew the answer the first day. So, I was under investigation for the first two and a half years. Right? Think of that. And then they say, ""He's tough."" But, I'll take it anyway. I'll take your (laughs) endorsement anyway, because once you get over the first paragraph or two, it says all of the things we've done, which are incredible, which are incredible.",Donald Trump
"And now, we'll have a chance to do it, uh, without the cloud, because I had a cloud hanging over my head, whether we like it or not. And then they say, ""He was tough. He fought too hard. He was somewhat crude. He was very, very nasty. His Twitter -- "" Now, you know what? If I didn't have social media, I wouldn't be here.",Donald Trump
"It was the only way I could defend myself. So, it's one of those things. But, I just wonder. I was thinking. I asked the people on the way up -- We have great people, such loyal, great people, including a man that comes from an area not too far from here. He's a good friend of these women who've been here, this is number 64 times for these incredible, beautiful women I think rich women and their husbands are in here someplace.",Donald Trump
"But -- but they had their husbands, they were at the one last night. That was a big deal, wasn't it? But, uh, this is number 64 I would say, right? 65 (laughs) oh, there's two more. They come from North Carolina, but we have, Mark Meadows comes from North Carolina. And he has been fantastic, he's done a great job, he's done a great job.",Donald Trump
"Where is he? He's probably working, you know, bum, bum, bum with the phone. He's got two phones instead of one. And he's not gonna break it up with a hammer like Hillary did. He's gonna -- It's gonna throw it away. He'll come down, watch. He's done a fantastic job, and he is, and he loves this state, he loves North Carolina.",Donald Trump
"And I specifically said I want somebody from North Carolina, give me Meadows. Now I knew three years ago, I said, ""We gotta get Meadows in here."" Big tech, big media, big donors, and powerful special interest, are desperate for Sleepy Joe to win, they want him to win. I'll tell you who wants him to win, China.",Donald Trump
"They will own our country, because they own him, they control him, and they know he will always be there to do their bidding, he'll always be there, he's a corrupt, he's a corrupt politician. I don't care, I'll say -- And I say it, everybody knows it's true. Can you imagine? Big tech refuses to put anything in, they took the New York Post down for two weeks because they didn't, they won't let anyone write.",Donald Trump
"If you put out a little tweet and say that Biden is corrupt, they will knock out your whole account. Nobody's ever seen anything like this. And do you notice? It is, outside of what I say, it is indeed faded away. Because you can't have a scandal if nobody writes about it. So we have the fake news not writing about it, and you have the big tech not writing -- So, so how can you have a scandal?",Donald Trump
"Nobody's talking about it. Nobody's allowed to talk. It's called, suppression. We don't have freedom of the press. We don't have -- Probably haven't had it for a long time, but we don't have -- You know, they say, ""Freedom of the press, the American way."" We don't have -- We have suppression by the press.",Donald Trump
"That's what it is. What beautiful words. I should've done this speech this way, it would've been much more interesting than what I'm -- No, but seriously, we have suppression by the press. This is not freedom, this is the an -- the, it really is. It's the exact opposite of freedom of the press, you know, if you think about it.",Donald Trump
"Every corrupt force in American life, that is responsible for cruel betrayals that hurt our family, and, you know, all of the people that we love, they're supported by Biden and they're donated by it. You know, I could've been a much bigger fundraiser than him, but I didn't wanna call every head of a Wall Street firm, every head of the oil companies that we've made rich anyway.",Donald Trump
"I did a great job. We're energy independent, that's not so bad, first time. The failed establishment that started the disasters far and worse, they support Sleepy Joe Biden, 'cause they get anything they want. And he took in $300 million last month. You think he made any deals? No, I don't think so. The career politicians that off-shored your industries, and decimated your factories, they support Sleepy Joe.",Donald Trump
"The open boarders lobbyists that killed our fellow citizens with illegal drugs, gangs, and crimes, the people that wanted to stop the wall even though it knew it works. It's almost finished, by the way. Will be finished [Inaudible]. But the people that wanted to stop, and even they, though they knew full well it worked.",Donald Trump
"Remember they said, ""No, no, we don't wanna wall, walls are obsolete. We want drones."" Drones? Okay, good. Drones flying to watch the people pour into our country. They want drones. Let's have drones. The Far Left Democrats that ruined our public schools, depleted our inner cities, defunded our police, and demeaned your sacred faith and values, they support Sleepy Joe Biden.",Donald Trump
"You an't even go to your churches, you can't even go to your church. And your governor of North Carolina, you gotta open up your state. You gotta get your governor, I hope you're gonna vote for Dan, who's, who's good. But you gotta get your state open. Don't worry about it, by November 4th they'll announce your state is opening.",Donald Trump
"On November 4th, uh, North Carolina will be opened on November 4th. The anti -- Right after the election, the anti [Inaudible] 'cause they want us to look bad, they don't care about people, they want us to look bad, they wanna try and steal an election. The Anti-American radicals defaming our noble history, our heritage, our heroes, they support sleepy Joe.",Donald Trump
"Antifa and the rioters and looters and Marxist's and left wing extremists, they all support Joe Biden. They always like to blame it on the right, did you ever notice? These were right wing, and uh, it's very rare, it's ver -- you got bad on every side. But, they always like to blame the right. It always starts off with the right, the right.",Donald Trump
"This election comes down to a simple choice. Do you want to be ruled by the arrogant, corrupt, ruthless and selfless political class? Or do you want to be governed by the American people themselves? Do you want to be represented by a career politician who hates you, or by an outsider who will defend you like you have never been defended before?",Donald Trump
"I didn't need this job, I had a very nice life, but -- I love what we're doing for our country. Nobody's done so much. Nobody, no administration -- and, you know, I never even had a challenge on this from the fake news. You know, normally, if you say something slightly off they make a big deal. No administration, president, has done more, in the first three and a half years than we have.",Donald Trump
"Our military we rebuilt, our tax cut, our regulation cuts. Space Force, just a thing like Space Force. I never even talked about Space Force, right, during the campaign. I did more than I actually talked about during the campaign. Thank you, thank you very much. [Audience chants ""We love Trump""] Thank you.",Donald Trump
"Thank you. Thank you [Inaudible]. I thought this was a small, little, cute area. You know, this was a small, little, cute area. When I came in I'm watching FOX and a gentleman and anchor said, ""They have a small crowd of about 2,000, 2,500."" M -- I knew, I knew, you know, it's, it's an incredible thing, this is a lot more than that.",Donald Trump
"This is a lot of people, this is a lot more than we, I wanted to be here, because it's an important [Inaudible]. I mean my granddaughter is named, Carolina, d -- you know that? And we'll give South Carolina some credit too. You know, they've been with us, is that okay? I wanna get your permission. No, we'll give South Carolina -- South Carolina's great, they're great people too.",Donald Trump
"A vote for Biden is a vote to hand the keys to government over to people who despise you and who want to rob your children of their American dream. That's what they're doing. A vote for Biden is a vote to give control of government over to the globalists, communists, socialists, the wealthy liberal hypocrites who want to silence, censor, cancel and punish you. [Audience boos] If you want your children to be safe -- and remember this, th -- they were against the Sec -- I'll put it very simply, against the Second Amendment.",Donald Trump
"Right? If you're pro-life, you can forget about it, you know that, right? Tremendous support. We have, I'll tell you what, we have -- did you see these people in California? They have lines of hundreds of miles of cars and tractors and Iowa. And votes five or six thousand votes in lakes in ocean with the flags and -- If you want your values to be respected, if you want to be treated with honor and dignity and respect, then I am asking for you to go out tomorrow or sooner, but I don't know, you tend to like to vote on Election Day, right?",Donald Trump
"We all do. And vote, it's gonna be the most important election, in my opinion, in the history of our country. I never thought I was gonna say it. If you would have told me I was gonna say that four years ago I would have said, ""you're crazy."" But, uh, it's the most important, because, I've always said we will never be a socialist nation.",Donald Trump
"And that's what they're trying to accomplish. And re-, well, and remember what I said four years ago. I said, ""I am your voice and we will make America great again."" And that's what we're doing. And, and if we didn't get hit by the China plague. Now we're building it up again, and we're doing it at record clip, and record numbers, and at a much faster pace than any other country in the world, but we got hit by the plague from China, and we will never forget it.",Donald Trump
"With God as my witness I will never let you down. For the last four years the depraved swamp has tried everything to stop me because they know I don't answer to them, I answer to you. Together we will defeat the corrupt establishment. We will dethrone the failed political class, and we will drain the Washington swamp, and we will save the American Dream.",Donald Trump
"This election is also a choice between a deadly Biden lockdown. He wants to have you locked down. I don't even know if he knows, I mean to be honest. They ask him a question, I don't think he has a clue. You can vote whoever you want but I don't think he has a clue. You know it. The media knows it. The media laughs behind his back and then they say, ""He did brilliantly today."" No, he didn't do brilliantly, he can't do -- He didn't do brilliantly in his prime, and he's not in his prime anymore.",Donald Trump
"Or, a safe vaccine that ends the pandemic, and we're doing very well with the vaccines. They'll be distributed very soon. We will mass distribute the vaccine in just a few short weeks. It will quickly eradicate the virus and wipe out the China plague once and for all. Joe Biden is promising to delay the vaccine and turn America into a prison state.",Donald Trump
"Looking again, that's more Kamala, you know. Remember when they said, ""This is the Harris-Biden administration,"" right? I never did that with Mike, and you know what Mike Pence never came to you and he said, ""Do you mind if I put my name first every once in a while?"" No, because -- And, by the way, he's been a great Vice President.",Donald Trump
"Some people say it was a perfect combination. It was. He's a great guy. He loves -- He's going to be in your state in a little while. Locking you in your home while letting far left righters roam free. The Biden lockdown will mean no school, no graduations, no weddings, no Thanksgiving, no Easter, no Christmas, no Fourth of July, and no future for America's youth.",Donald Trump
"Other than that it's fine, I think it's just -- If you want a vaccine to kill the virus, a job to support your family, and freedom to live your life then you go and cast your ballot for President Trump. And, if you remember the catastrophe -- Joe Biden, you know, he's telling us how to run things right? This guy never ran a thing successfully.",Donald Trump
"He said horrible things about him when he was in the administration. Obama didn't even want to endorse him. He wouldn't endorse him. Even after he won Obama said, ""This is, no way."" How long did it take him after he won? It took forever. Obama couldn't believe it. I don't think Obama's much better, you want to know the truth.",Donald Trump
"Joe Biden personally ran the swine flu, right, the swine flu, H1N1, which he can never remember. He never says it. He says it, he goes N1H1. I said, ""No."" He failed horribly and he was a laughingstock all over Washington. They were laughing at him, and his own Chief of Staff said he was absolutely terrible.",Donald Trump
"They had a terrible, they did a terrible job. Now he's telling us how to do it. I should have closed earlier. There's only one problem, he's on record all over the place knocking me two and a half months later for closing too soon, and closing at all. He said, ""Don't close."" He's xenophobic. You know, he's xenophobic.",Donald Trump
"I didn't like people from China is what he's saying. It's so wrong. I think they are incredible people. I do, I think they're incredible people, but they were, he said, xenophobic, and then he runs for office. He says, ""He should have closed earlier,"" and you know what the press never covers that. They just, you can't get -- The only time I get it covered is of I happen to be on live television I'll say it again, and again, and when I do say it they try and turn it off.",Donald Trump
"Let's go to a commercial break right now. I think I know what's coming. These are really bad people. Secretary of Defense, Robert Gates, said that Biden has been wrong on every, actually on nearly every, major foreign policy and national security issue over the past four decades. He had no respect for him whatsoever.",Donald Trump
"Sure he endorsed him because he's probably looking for something like everybody else, but I don't think any of them are going to get anything, because I think we're going to have one of the greatest victories tomorrow. But, you don't have to take my word for what a disaster Joe Biden is, because it's the great state of North Carolina.",Donald Trump
"I spent a fortune. See this? See the board? I spent a lot of money on the board. So let's just take a look at, uh, a little roll. Let's roll it, please. [Video Begins]",Donald Trump
"Don't do it. Don't do it. Don't do it to yourselves. [Audience chants ""Four more years""] Our country has such potential. You can't do that to our country.",Donald Trump
"He's not mentally equipped. But, uh, he just doesn't -- to be your president. He's not equipped to be your president. And I say it, you know, I say it because he's not a nice person, never was a nice person. But he was never a smart person. He was a touchy feely person, you know? Hail and hearty, but not nice.",Donald Trump
"But this is not a man that 25 years ago was not equipped to be your president. And he ran many times, numerous times. We called him 1% Joe. Think of it. And now he's working on about 50%, and he ends up winning the nomination because of Elizabeth Warren. Elizabeth Warren gave him the nom. All she had to do is drop out and he would have lost to her on Super -- I mean, then we would have had Crazy Bernie, so you know, what the hell.",Donald Trump
"But at least Bernie, you know, they had a great energetic base. It's a small base, but energetic. But, uh, this is not a man that should be your president. We have tremendous potential. Our country has tremendous potential. And we can't blow it. We can't blow it. Because there's no way to describe that. And, and that's like 1%. We could keep you out here all day.",Donald Trump
"Much of it happened yesterday and the day before yesterday. Oh, we had some beauties yesterday. But we can't do this and you know what's going to happen. Kamala will be put in that position very quickly. Very quickly. And she's more liberal than Crazy Bernie. She's more liberal. In fact, she makes him look like a strict conservative.",Donald Trump
"Joining us today are some incredible people, incredible friends and warriors, and I want to tell you. I just looked at a poll and he's up in the poll. Senator Thom Tillis. He's up. He's up. That's great, Thom. Good. I'm very happy with that. That's -- we've got to get him in. He's a good man. Good man and your wife was great the other night.",Donald Trump
"We had a -- Oh, good. We had a great rally the other night and you were well represented, let me tell you. Very well. Congratulations. Well, let's save that for tomorrow or the next day. Or, as the Supreme Court would say, ""Sometime into the future."" What a ruling. What a ruling. What a horrible thing that they've done.",Donald Trump
"Do you know that puts our country in danger? Do you know what can happen during that long period of time, Pennsylvania? The long period of time? Do you know what can happen? Number one, cheating can happen like you've never seen. This is their dream and, uh, they are s-, they are known for it, you know? The Philadelphia area is known for it.",Donald Trump
"But what can happen during that long period of time is just as, a disgrace. Get your ballots in and have them in long before the third and have them counted before the third and have an election where we can say to the world that we know who won and we know who lost. What a horrible -- Our Supreme Court, I'm just, I'm just so tired of some of these horrible political decisions that are being made.",Donald Trump
"It's a shame. It's a shame, and, uh, you know, I won't get into it too much, but I'm going to start getting into it because they're hurting our country very badly. Very badly. Representative, warrior, David Rouzer, Rouzer, David, David Rouzer. David, thank you. You're doing a great job. Appreciate it. Uh, Congress, we have a friend over there, David.",Donald Trump
"Richard Hudson. Where is Richard? Richard? Richard Hudson, Congressman. Another great guy. Great guy. He's done a fantastic job and a friend of mine and somebody that's done an incredible job also in Congress, Dan Bishop. Thanks, Dan. Thank you, Dan. Doing a good job. He came in, you know, he came in through the, the system.",Donald Trump
"He won a race that was a tough race, right? We worked together on it and he had no choke in him. He started off a little behind, to put it nicely, and he ended up winning and he won solid. And how are you doing on this one, good? I don't have to help you as much. Ah? He's gonna win. He's gonna win. He should win.",Donald Trump
"He's a great Congressman. All of them, all three. Thank you very much, fellas. A man that hopefully you're gonna recognize for, I guess he doesn't have the funds that the other one has. He has, you know, I see commercials all the time for your governor that has you in a total lockdown. But Dan Forrest would be a phenomenal governor.",Donald Trump
"A phenomenal governor. He would be -- and you could have a surprise, Dan. That could be a big, beautiful gift to North Carolina. It would be a gift. That's not bad. Hey, Dan, that's not bad, huh? Beautiful. That's -- Hey, Dan, that's a very impressive, uh, applause you got. I have to be honest. Don't kid yourself.",Donald Trump
